"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1558881_at",-3.01640277766312,5.34540846352759,-10.3101584791179,3.78593600479276e-06,0.00163531683016121,4.99352842789294
"204942_s_at",5.75500866929012,4.66473875534405,10.2991055257522,3.81877970147281e-06,0.00163531683016121,4.9853983675588
"228003_at",-1.86828936521003,5.4861526902174,-10.2983417674398,3.82106082539182e-06,0.00163531683016121,4.9848362178614
"210751_s_at",-2.58840262749394,7.09759097705468,-10.2772080433666,3.8847835380332e-06,0.00163531683016121,4.96926249754648
"231117_at",2.41827206941795,4.57841492943713,10.2732945841366,3.89671210461703e-06,0.00163531683016121,4.96637466332633
"1556398_a_at",-4.28147977511968,3.21648387210754,-10.2644708974951,3.92375656708178e-06,0.00163531683016121,4.95985891474004
"208637_x_at",1.97135419796212,8.77188138923068,10.2544165203563,3.95482669741372e-06,0.00163531683016121,4.95242669927841
"202468_s_at",-2.34742015783344,9.56577175973814,-10.2509190204454,3.96569848794295e-06,0.00163531683016121,4.94983942113901
"231018_at",4.43367246543388,4.25955111196799,10.246822075586,3.97847572631725e-06,0.00163531683016121,4.94680744219786
"236396_at",-2.94239141786752,5.04511999615184,-10.2254706110324,4.04580714931786e-06,0.00163531683016121,4.93098405808614
"210513_s_at",2.78098132214515,4.8052129055389,10.2247143151661,4.04821514002312e-06,0.00163531683016121,4.93042289443973
"205113_at",-4.8113607170093,3.03056211455842,-10.2153957010023,4.07801551884172e-06,0.00163531683016121,4.92350475947816
"218355_at",4.69951735004595,4.18653980327447,10.2123415148011,4.08783541067291e-06,0.00163531683016121,4.9212357943252
"206068_s_at",-4.23211381881259,5.42117892445566,-10.2084732727742,4.10031027147296e-06,0.00163531683016121,4.9183609732022
"218308_at",2.87040166624732,5.30853510272729,10.2019072341203,4.12158198205092e-06,0.00163531683016121,4.91347839533021
"204154_at",-2.84973549284798,6.5912488456072,-10.2000722104011,4.12754865225876e-06,0.00163531683016121,4.91211322273908
