"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"213252_at",-1.84914476010281,6.12407673122966,-17.9339185127219,7.54512997967283e-27,4.58366646265125e-24,50.7887441580827
"211892_s_at",-1.94655226087915,5.72999002669338,-17.7389565800708,1.36289176477143e-26,8.1885832130635e-24,50.2057755152279
"241060_x_at",-4.1969398034872,3.72750725382002,-17.7123760341657,1.47780559150404e-26,8.78250225168298e-24,50.1259469936379
"1569768_at",-3.05897347661054,3.72848282242692,-17.6691658605749,1.68594197666583e-26,9.9117072660435e-24,49.9959961954025
"237834_at",-2.68326506350428,4.49290132854617,-17.6412236879101,1.83610335927651e-26,1.06796756562174e-23,49.9118443673366
"243537_at",-2.52533872229011,4.91827391555839,-17.6200133428945,1.95907184433517e-26,1.12749740093711e-23,49.8479043320333
"215892_at",-2.86368834319993,5.25494535037291,-17.608934238996,2.02658556747637e-26,1.15420381147678e-23,49.8144843008039
"229457_at",-2.82175862062708,5.02237376581166,-17.5066729936019,2.77249578641838e-26,1.56274440332397e-23,49.5053221367678
"1561139_at",-3.80784804970707,4.51100770883376,-17.4714044399407,3.08982017599418e-26,1.723835899209e-23,49.3984060177234
"211696_x_at",-4.66427262910246,8.52205293685595,-17.4421837115169,3.38043427777947e-26,1.86692165795548e-23,49.309710798039
"244457_at",-2.94388338452462,6.57855321836208,-17.4208303868961,3.61017213489625e-26,1.97386161475453e-23,49.244831090418
"1555263_at",2.10203929961813,4.59472089074922,17.3885495537423,3.98786043026463e-26,2.1587749408388e-23,49.1466452971485
"1563012_x_at",-3.91723453844563,3.82349821461452,-17.3785834827367,4.11236256346183e-26,2.20434728585565e-23,49.1163070398297
"243798_at",-2.04489033263097,6.47634250935948,-17.3261494525072,4.83525174150067e-26,2.56667367928688e-23,48.9564926745589
"201957_at",-1.96099665814249,7.01710181140098,-17.3108354933462,5.06973476054941e-26,2.66526680800999e-23,48.9097544958586
"241816_at",-2.47880779615667,5.06226072044158,-17.2680352535676,5.78798421372373e-26,3.01388606557471e-23,48.7789780159196
"218730_s_at",-4.58070217912938,5.81050110444845,-17.249022351895,6.13929671435677e-26,3.16666082884393e-23,48.7208128882997
"205100_at",-3.03932191806137,7.14909831455447,-17.1926126966514,7.31397484637836e-26,3.71640544098025e-23,48.547984289513
