"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"230625_s_at",3.36204557532005,3.07152828496678,6.16337527372283,0.000196475635758442,0.00622742341164802,1.09424029271416
"225352_at",-1.16204555922097,9.19973898622241,-6.15997654343372,0.000197255997282244,0.00624699815404062,1.09019720661159
"208511_at",3.11526677500063,4.18412870079952,6.15969090942955,0.000197321734102024,0.00624699815404062,1.0898573450726
"223216_x_at",-1.22131553843473,8.25822419512335,-6.15651980725184,0.00019805315352904,0.00626418421399864,1.08608342887052
"236000_s_at",-1.48056399234441,6.37372051381751,-6.15555496980214,0.000198276282295646,0.00626418421399864,1.08493489520095
"238458_at",-2.33583109126277,5.9981824400475,-6.1554122242559,0.000198309317023737,0.00626418421399864,1.08476496093873
"222946_s_at",1.32404407359751,3.65786079075827,6.15529104707313,0.00019833736503845,0.00626418421399864,1.084620700882
"223220_s_at",1.81710680545347,7.52127959567379,6.15455870657296,0.000198506966961472,0.00626418421399864,1.08374881329116
"238755_at",2.96587414960404,5.29756602438963,6.15417726809608,0.000198595366651901,0.00626418421399864,1.08329466162803
"209258_s_at",-1.2652279195746,6.60065851188583,-6.15387010936364,0.000198666583028324,0.00626418421399864,1.08292893449312
"223979_x_at",1.1351728596564,4.40416613653781,6.15266804947109,0.000198945555454543,0.00626936498240757,1.08149753891019
"207076_s_at",2.84768364837061,10.3213027527859,6.15004573187927,0.000199555626353161,0.00628496766754554,1.07837420576988
"230569_at",-1.57584689284102,4.99160488721994,-6.148989311055,0.000199801975638428,0.00628797182388557,1.07711566978807
"202107_s_at",2.15503305534467,7.33195234624955,6.14865062590306,0.000199881024781219,0.00628797182388557,1.07671215345472
"229599_at",4.68158861052468,5.93889641711558,6.14768141941463,0.000200107426585787,0.0062898246534752,1.07555733082909
"212639_x_at",1.15748692263112,11.8231718855241,6.14646576223503,0.000200391794366985,0.0062898246534752,1.0741086693762
"208505_s_at",1.42425650099343,4.84642962589803,6.14612238467394,0.000200472197573842,0.0062898246534752,1.07369943864887
"227086_at",-1.3791240724126,5.7245517828214,-6.14576660772966,0.000200555541337289,0.0062898246534752,1.07327541282716
"201468_s_at",1.93966774331864,7.22593891231816,6.14575922144777,0.000200557272037607,0.0062898246534752,1.07326660943954
"213240_s_at",4.51555158944211,3.14863946836736,6.14544819804775,0.000200630163615194,0.0062898246534752,1.07289590713071
"236375_at",-1.14003926043593,4.62345184622397,-6.14310116944237,0.000201181148772279,0.00630348384477041,1.07009808742204
"227313_at",-1.27667044261343,7.43406764096135,-6.14130671363996,0.000201603528255121,0.00631310017603021,1.06795844208252
"220543_at",-2.3171695049886,4.70928540997081,-6.13985249470975,0.000201946533663386,0.00632022136694083,1.0662241458255
"207628_s_at",1.37636341374337,8.76409464168268,6.13935635545905,0.000202063703490543,0.00632027058829829,1.06563238285155
"238778_at",1.81026551223046,6.75756903036455,6.13703697901802,0.000202612441208224,0.00632930067679677,1.06286551354053
"243111_at",-1.44814076723797,3.64232360244165,-6.13698808330314,0.000202624026884703,0.00632930067679677,1.06280717577694
"202694_at",-1.81117315819288,4.88100034922554,-6.1363239754636,0.000202781456738612,0.00632930067679677,1.06201479100599
"201663_s_at",2.43226714354723,6.65514291305544,6.13618064662244,0.000202815451042486,0.00632930067679677,1.06184376896121
"229586_at",-1.68614438134705,7.74827019791564,-6.13471293459818,0.000203163917217477,0.00633511822120622,1.06009230485383
"202528_at",1.90253771914428,6.03246368356324,6.13358604523736,0.000203431908851519,0.00633511822120622,1.05874734561828
"1556451_at",-1.36651233440639,5.59854659826366,-6.13345931851606,0.000203462070573348,0.00633511822120622,1.05859608403849
"1560219_at",-1.38288164344727,5.58496825365348,-6.13344557287177,0.000203465342413135,0.00633511822120622,1.0585796770382
"240067_at",2.50212159700919,4.86538489307723,6.13011918787756,0.000204258806282647,0.00635234504006011,1.05460846174434
"232596_at",1.90653822751108,2.59098002625192,6.12990883661034,0.000204309096271932,0.00635234504006011,1.0543572800473
"1561861_a_at",-1.37393273046779,2.85487418087544,-6.12932130505648,0.000204449632795106,0.00635234504006011,1.05365567162357
"228302_x_at",-3.86587976967362,2.34806937237055,-6.12881078627994,0.00020457183377643,0.00635234504006011,1.05304598893649
"217728_at",1.49131422847394,11.0130224114461,6.12869510226203,0.000204599535721003,0.00635234504006011,1.05290782910813
"229274_at",-1.64349847336087,7.07747899696497,-6.12688424567775,0.000205033702089728,0.00636111795806792,1.05074489864152
"1564459_at",-1.25905253836464,4.09205620770047,-6.1260321419423,0.000205238348567897,0.00636111795806792,1.04972696330304
"244669_at",-1.71445616920275,8.35931194247158,-6.12523121483222,0.000205430907671921,0.00636111795806792,1.04877006962628
"213946_s_at",-2.45216307756304,5.78435116680321,-6.12518860610845,0.000205441157201697,0.00636111795806792,1.04871916102755
"226591_at",-1.24692513434508,6.69774217777512,-6.12509440533045,0.000205463819185148,0.00636111795806792,1.04860660968945
"219932_at",-1.63870857601503,6.19700528167908,-6.12319214201161,0.000205922033794383,0.0063681895642356,1.04633350885476
"243580_at",-1.96251599771302,5.01803259481177,-6.12257936488186,0.000206069876422131,0.0063681895642356,1.04560116340514
"238601_at",-1.45160314993108,7.22976948031047,-6.12246035983039,0.000206098601809194,0.0063681895642356,1.04545893122847
"213370_s_at",1.77931459959625,6.06195959896526,6.12221381833408,0.000206158125810645,0.0063681895642356,1.04516426389799
"203575_at",-1.18118003625965,7.47746244156507,-6.12079644259223,0.000206500696047191,0.00637438909828649,1.0434700423331
"232795_at",-1.99338869308414,4.45073125262405,-6.12018372173752,0.00020664897911127,0.00637438909828649,1.04273755412669
"211390_at",-2.61658920652562,2.034150594735,-6.11993756047435,0.000206708584751019,0.00637438909828649,1.04244326107445
"209034_at",-1.5109341113738,9.5611787819586,-6.1193888599461,0.00020684151505644,0.00637489280479756,1.04178724219976
"1553263_at",-1.18927549559535,5.3483592327741,-6.11661023414019,0.000207516111479926,0.00638555849944873,1.0384644934648
"1555826_at",2.41254189671974,3.88219334905732,6.11648152317946,0.000207547418210798,0.00638555849944873,1.03831055096757
"232477_at",-1.85739772051235,3.1041945390721,-6.11606228836492,0.00020764942566721,0.00638555849944873,1.03780911604568
"229083_at",-1.23955618514804,7.38367786539027,-6.11604044574575,0.000207654741875077,0.00638555849944873,1.03778299001617
"239979_at",1.94070315395854,6.18774194706552,6.1110637771644,0.000208869884005812,0.00641901106111721,1.03182859930915
"1556364_at",-3.24828464941247,8.14489302079074,-6.11062493920081,0.000208977406287858,0.00641901106111721,1.03130337656117
"218039_at",2.04658292731557,7.5160104360536,6.10751405151083,0.000209741359490407,0.00643885953404716,1.02757932303401
"204082_at",-2.23844432159554,8.56345633099561,-6.10632718574457,0.000210033626639392,0.00644151929875701,1.02615815686127
"231832_at",1.07275162849823,7.20724613013307,6.10548595426952,0.000210241050391075,0.00644151929875701,1.02515073476834
"203688_at",-1.52735561209834,8.25208154067065,-6.10537394411471,0.000210268685789868,0.00644151929875701,1.02501658864594
"241801_at",-1.42743790572191,5.14400516192794,-6.10525004811958,0.000210299258313329,0.00644151929875701,1.02486820565389
"233450_at",-1.59615956154007,5.62647686338462,-6.10378398887821,0.00021066139147501,0.00644899864439876,1.02311222515265
"1560431_at",-4.46075329648231,4.39949462410817,-6.10316321976715,0.000210814933726995,0.00645008757779713,1.02236860270706
"213330_s_at",1.31792705742768,7.64213264487736,6.10040238232435,0.000211499287447504,0.00646306990343091,1.01906071245577
"241294_at",-1.53498246783659,5.04900000874708,-6.09990519698331,0.000211622786995392,0.00646306990343091,1.01846489500512
"210628_x_at",-1.31226394103679,6.06805796497512,-6.0998796764302,0.00021162912836017,0.00646306990343091,1.01843431070359
"202105_at",-1.24514997047771,9.49668138246917,-6.09865065855218,0.000211934761464334,0.00646306990343091,1.01696132246529
"218847_at",1.25764518358014,9.14319206915738,6.09852502281459,0.000211966031814385,0.00646306990343091,1.01681073477678
"40446_at",-1.24089359061336,9.33228348168856,-6.09817315617838,0.000212053637174621,0.00646306990343091,1.01638897343692
"1552631_a_at",1.87461827872174,4.93619426073187,6.09812066008344,0.000212066710685963,0.00646306990343091,1.01632604800822
"244788_at",-2.38454456922416,6.04208586443239,-6.09713468033767,0.000212312420568054,0.0064669535345729,1.0151441114709
"200862_at",3.5337518180225,8.39336041136729,6.09525888419036,0.000212780735282499,0.0064722123156314,1.01289512857276
"224604_at",-1.34066021409296,10.1763443596386,-6.09511546131212,0.000212816588920038,0.0064722123156314,1.01272315116278
"211657_at",2.16165162566643,4.70389855729921,6.09491932680985,0.000212865630383936,0.0064722123156314,1.01248796282143
"212096_s_at",-1.79421862031839,8.9092456820147,-6.09433936218445,0.000213010716967203,0.0064722123156314,1.01179248472208
"226066_at",-2.09750713890516,8.00715661966189,-6.09407475311378,0.000213076948662762,0.0064722123156314,1.01147515655588
"234192_s_at",-1.36915003993801,8.00394997718856,-6.0931834003388,0.000213300220016026,0.00647507003623066,1.01040614218034
"209449_at",1.16465416009,7.26398469184018,6.09275393335716,0.000213407886699363,0.00647507003623066,1.00989103451039
"229568_at",-3.08625983958847,7.86252702803627,-6.09202230229915,0.000213591442192857,0.00647704498163864,1.0090134468007
"220602_s_at",1.94504730670943,6.87787099503201,6.09148942713038,0.000213725241315503,0.00647750973887201,1.00837421741576
"214787_at",-1.78280834113012,5.54742139680242,-6.08966370175798,0.000214184355760126,0.00648782806159829,1.00618379452864
"222876_s_at",2.05443596689141,5.72526422529876,6.08855320359828,0.000214464139241415,0.00649270587653618,1.00485123495946
"214059_at",1.74056118421675,6.0527250794167,6.08524669208521,0.000215299562432221,0.00651097314750846,1.0008824865953
"1555151_s_at",-3.28404902003028,3.40660438578479,-6.08486281758266,0.000215396782272993,0.00651097314750846,1.00042162698973
"230386_at",-1.40846073269982,4.82743132613586,-6.08443505725725,0.000215505173114351,0.00651097314750846,0.999908055436907
"227985_at",3.9176167631544,5.0102778758256,6.0840638764036,0.000215599275484989,0.00651097314750846,0.999462392235374
"236265_at",-1.71024463421545,8.3406806566756,-6.08381277494908,0.000215662960587797,0.00651097314750846,0.999160892732289
"212668_at",2.53752152904018,2.0007418923015,6.08300656899091,0.000215867571914955,0.0065135538048842,0.998192813647407
"228259_s_at",-1.34838567791834,5.99961001957464,-6.08224240473262,0.000216061709043983,0.0065158157429563,0.997275131376085
"210063_at",-1.52592012311514,4.27915940844382,-6.08143848064346,0.00021626615312414,0.00651838584457682,0.996309611118826
"207986_x_at",1.32912597501459,8.51545479709704,6.07777030418099,0.000217201684532579,0.00654297636463843,0.991902918909345
"219432_at",-1.54548616705283,7.03464606679872,-6.07696680427623,0.000217407198800034,0.00654556089999553,0.990937391835591
"241962_at",-1.36092730459641,4.91139572421806,-6.07556665489594,0.000217765828196481,0.00655159881388265,0.989254678149525
"214501_s_at",1.17022119392076,8.69597785191415,6.07524853303892,0.000217847400889596,0.00655159881388265,0.988872316800785
"207714_s_at",1.51777375124055,8.07654140637254,6.07340222637446,0.000218321489724423,0.00655871166396913,0.986652891559335
