"gene","MeanDecreaseGini"
"227641_at",0
"204533_at",0
"205258_at",0
"218677_at",0
"220848_x_at",0
"1553582_a_at",0
"216598_s_at",0
"229105_at",0
"232771_at",0
"204825_at",0
"236741_at",0
"203691_at",0
"1566766_a_at",0
"241358_at",0
"223122_s_at",0
"227725_at",0
"204614_at",0
"207663_x_at",0
"241397_at",0
"204818_at",0
"204914_s_at",0
"213764_s_at",0
"230251_at",0
"203453_at",0
"203980_at",0
"214777_at",0
"208156_x_at",0
"214677_x_at",0
"217350_at",0
"216401_x_at",0
"221909_at",0
"228865_at",0
"212949_at",0
"210163_at",0
"213611_at",0
"236161_at",0
"202935_s_at",0
"215813_s_at",0
"241255_at",0
"240284_x_at",0
"227134_at",0
"229296_at",0
"234436_x_at",0
"217004_s_at",0
"233011_at",0
"219513_s_at",0
"203052_at",0
"204653_at",0
"228186_s_at",0
"224209_s_at",0
"213456_at",0
"1556395_at",0
"214254_at",0
"219274_at",0
"205428_s_at",0
"1552261_at",0
"1555167_s_at",0
"221671_x_at",0
"201890_at",0
"217378_x_at",0
"202510_s_at",0
"206247_at",0
"1557285_at",0
"228904_at",0
"1554242_a_at",0
"240161_s_at",0
"238919_at",0
"229763_at",0
"221884_at",0
"228910_at",0
"244731_at",0
"208607_s_at",0
"40284_at",0
"208851_s_at",0
"209138_x_at",0
"215379_x_at",0
"232195_at",0
"229580_at",0
"1560861_at",0
"1560803_at",0
"219359_at",0
"207768_at",0
"229479_at",0
"206552_s_at",0
"218741_at",0
"228347_at",0
"206230_at",0
"209243_s_at",0
"1555352_at",0
"204379_s_at",0
"205924_at",0
"234764_x_at",0
"230577_at",0
"228320_x_at",0
"243278_at",0
"208209_s_at",0
"229376_at",0
"235148_at",0
"1561938_at",0
"230661_at",0
"229659_s_at",0
"237461_at",0
"222764_at",0
"1561281_a_at",0
"219386_s_at",0
"221651_x_at",0
"1553089_a_at",0
"1553797_a_at",0
"215161_at",0
"230378_at",0
"1556398_a_at",0
"243438_at",0
"209462_at",0
"231849_at",0
"205453_at",0
